Sample Name		Target Name	RQ	RQ Min	RQ Max
C01	PLATE_384	Ex1.Hs03023279_cn	1.492	1.326	1.678
C01	PLATE_384	Ex10.Hs01050696_cn	0.886	0.817	0.96
C01	PLATE_384	Ex11.Hs02291553_cn	0.948	0.854	1.052
C01	PLATE_384	Ex12.Hs01434720_cn	1.008	0.961	1.056
C01	PLATE_384	Ex13	0.852	0.8	0.907
C01	PLATE_384	Ex14.Hs02376914_cn	0.979	0.934	1.027
C01	PLATE_384	Ex15.Hs01036179_cn	0.956	0.886	1.032
C01	PLATE_384	Ex16.Hs03798190_cn	0.957	0.917	0.998
C01	PLATE_384	Ex17.Hs02305143_cn	0.903	0.88	0.926
C01	PLATE_384	Ex18.Hs04402282_cn	0.97	0.897	1.049
C01	PLATE_384	Ex19.Hs00951916_cn	0.882	0.813	0.956
C01	PLATE_384	Ex2.Hs02944145_cn	1.113	1.077	1.149
C01	PLATE_384	Ex20	0.991	0.935	1.051
C01	PLATE_384	Ex21	0.96	0.897	1.028
C01	PLATE_384	Ex22.Hs02403607_cn	0.918	0.866	0.973
C01	PLATE_384	Ex23.Hs02303148_cn	0.922	0.841	1.011
C01	PLATE_384	Ex24.Hs03766117_cn	1.004	0.922	1.094
C01	PLATE_384	Ex25.Hs01578366_cn	0.946	0.905	0.989
C01	PLATE_384	Ex26.Hs00851203_cn	0.992	0.92	1.069
C01	PLATE_384	Ex27.Hs01453470_cn	0.896	0.804	1
C01	PLATE_384	Ex28.Hs00310391_cn	0.993	0.95	1.038
C01	PLATE_384	Ex29.Hs01720066_cn	1.006	0.935	1.082
C01	PLATE_384	Ex3	0.916	0.85	0.988
C01	PLATE_384	Ex30.Hs01096449_cn	0.962	0.905	1.022
C01	PLATE_384	Ex31.Hs02405090_cn	0.964	0.926	1.003
C01	PLATE_384	Ex32.Hs01193830_cn	1.143	1.059	1.235
C01	PLATE_384	Ex33	0.964	0.901	1.032
C01	PLATE_384	Ex34	0.895	0.863	0.929
C01	PLATE_384	Ex35.Hs02241288_cn	0.93	0.832	1.04
C01	PLATE_384	Ex36.Hs00966116_cn	0.946	0.827	1.083
C01	PLATE_384	Ex37	1.023	1	1.045
C01	PLATE_384	Ex38.Hs01278774_cn	0.987	0.918	1.062
C01	PLATE_384	Ex39.Hs01819340_cn	0.986	0.888	1.094
C01	PLATE_384	Ex4.Hs00446573_cn	0.961	0.918	1.006
C01	PLATE_384	Ex5.Hs00540258_cn	1.03	0.875	1.214
C01	PLATE_384	Ex6.Hs02815430_cn	1.009	0.954	1.067
C01	PLATE_384	Ex7.Hs00412834_cn	0.917	0.861	0.976
C01	PLATE_384	Ex8.Hs02042994_cn	0.934	0.878	0.994
C01	PLATE_384	Ex9.Hs00704333_cn	1.038	0.939	1.148
C01	PLATE_384	KIA.Hs02943187_cn	0.958	0.899	1.021
C01	PLATE_384	KIB.Hs00745275_cn	0.853	0.59	1.234
C01	PLATE_384	KIC.Hs00810541_cn	0.966	0.881	1.06
C30	PLATE_384	Ex1.Hs03023279_cn	1	0.932	1.073
C30	PLATE_384	Ex10.Hs01050696_cn	1	0.973	1.028
C30	PLATE_384	Ex11.Hs02291553_cn	1	0.961	1.04
C30	PLATE_384	Ex12.Hs01434720_cn	1	0.977	1.024
C30	PLATE_384	Ex13	1	0.95	1.053
C30	PLATE_384	Ex14.Hs02376914_cn	1	0.961	1.041
C30	PLATE_384	Ex15.Hs01036179_cn	1	0.941	1.062
C30	PLATE_384	Ex16.Hs03798190_cn	1	0.928	1.078
C30	PLATE_384	Ex17.Hs02305143_cn	1	0.962	1.039
C30	PLATE_384	Ex18.Hs04402282_cn	1	0.95	1.053
C30	PLATE_384	Ex19.Hs00951916_cn	1	0.966	1.035
C30	PLATE_384	Ex2.Hs02944145_cn	1	0.93	1.075
C30	PLATE_384	Ex20	1	0.973	1.027
C30	PLATE_384	Ex21	1	0.955	1.047
C30	PLATE_384	Ex22.Hs02403607_cn	1	0.931	1.074
C30	PLATE_384	Ex23.Hs02303148_cn	1	0.943	1.06
C30	PLATE_384	Ex24.Hs03766117_cn	1	0.943	1.061
C30	PLATE_384	Ex25.Hs01578366_cn	1	0.951	1.052
C30	PLATE_384	Ex26.Hs00851203_cn	1	0.941	1.063
C30	PLATE_384	Ex27.Hs01453470_cn	1	0.937	1.067
C30	PLATE_384	Ex28.Hs00310391_cn	1	0.923	1.084
C30	PLATE_384	Ex29.Hs01720066_cn	1	0.959	1.043
C30	PLATE_384	Ex3	1	0.979	1.021
C30	PLATE_384	Ex30.Hs01096449_cn	1	0.968	1.033
C30	PLATE_384	Ex31.Hs02405090_cn	1	0.929	1.076
C30	PLATE_384	Ex32.Hs01193830_cn	1	0.948	1.055
C30	PLATE_384	Ex33	1	0.946	1.057
C30	PLATE_384	Ex34	1	0.912	1.096
C30	PLATE_384	Ex35.Hs02241288_cn	1	0.921	1.086
C30	PLATE_384	Ex36.Hs00966116_cn	1	0.928	1.078
C30	PLATE_384	Ex37	1	0.974	1.027
C30	PLATE_384	Ex38.Hs01278774_cn	1	0.954	1.048
C30	PLATE_384	Ex39.Hs01819340_cn	1	0.982	1.018
C30	PLATE_384	Ex4.Hs00446573_cn	1	0.959	1.043
C30	PLATE_384	Ex5.Hs00540258_cn	1	0.874	1.144
C30	PLATE_384	Ex6.Hs02815430_cn	1	0.951	1.051
C30	PLATE_384	Ex7.Hs00412834_cn	1	0.904	1.106
C30	PLATE_384	Ex8.Hs02042994_cn	1	0.974	1.027
C30	PLATE_384	Ex9.Hs00704333_cn	1	0.915	1.093
C30	PLATE_384	KIA.Hs02943187_cn	1	0.893	1.12
C30	PLATE_384	KIB.Hs00745275_cn	1	0.888	1.126
C30	PLATE_384	KIC.Hs00810541_cn	1	0.895	1.117
HHT-2294	PLATE_384	Ex1.Hs03023279_cn	1.77	1.463	2.142
HHT-2294	PLATE_384	Ex10.Hs01050696_cn	1.078	0.974	1.193
HHT-2294	PLATE_384	Ex11.Hs02291553_cn	1.082	0.964	1.214
HHT-2294	PLATE_384	Ex12.Hs01434720_cn	1.172	1.099	1.251
HHT-2294	PLATE_384	Ex13	1.077	1.017	1.142
HHT-2294	PLATE_384	Ex14.Hs02376914_cn	1.058	1.017	1.099
HHT-2294	PLATE_384	Ex15.Hs01036179_cn	1.074	0.977	1.18
HHT-2294	PLATE_384	Ex16.Hs03798190_cn	1.025	1.011	1.04
HHT-2294	PLATE_384	Ex17.Hs02305143_cn	1.049	0.993	1.107
HHT-2294	PLATE_384	Ex18.Hs04402282_cn	1.038	1.003	1.073
HHT-2294	PLATE_384	Ex19.Hs00951916_cn	0.979	0.898	1.067
HHT-2294	PLATE_384	Ex2.Hs02944145_cn	1.201	1.107	1.303
HHT-2294	PLATE_384	Ex20	1.161	1.115	1.209
HHT-2294	PLATE_384	Ex21	1.057	1.016	1.1
HHT-2294	PLATE_384	Ex22.Hs02403607_cn	1.046	0.925	1.182
HHT-2294	PLATE_384	Ex23.Hs02303148_cn	1.002	0.938	1.071
HHT-2294	PLATE_384	Ex24.Hs03766117_cn	1.006	0.915	1.105
HHT-2294	PLATE_384	Ex25.Hs01578366_cn	1.046	1.026	1.067
HHT-2294	PLATE_384	Ex26.Hs00851203_cn	1.03	0.943	1.124
HHT-2294	PLATE_384	Ex27.Hs01453470_cn	1.003	0.923	1.089
HHT-2294	PLATE_384	Ex28.Hs00310391_cn	1.137	1.061	1.219
HHT-2294	PLATE_384	Ex29.Hs01720066_cn	1.069	1.018	1.122
HHT-2294	PLATE_384	Ex3	1.337	1.246	1.435
HHT-2294	PLATE_384	Ex30.Hs01096449_cn	1.017	0.928	1.114
HHT-2294	PLATE_384	Ex31.Hs02405090_cn	1.056	1.037	1.075
HHT-2294	PLATE_384	Ex32.Hs01193830_cn	1.315	1.204	1.437
HHT-2294	PLATE_384	Ex33	1.033	1.004	1.063
HHT-2294	PLATE_384	Ex34	1.028	0.954	1.109
HHT-2294	PLATE_384	Ex35.Hs02241288_cn	1.06	0.895	1.255
HHT-2294	PLATE_384	Ex36.Hs00966116_cn	0.921	0.768	1.104
HHT-2294	PLATE_384	Ex37	1.141	1.073	1.213
